kandidatas,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Jonas STANEVIČIUS,"24,46%",39,"22,39%",6,Balėnų  (Nr.18) apylinkė  
Jonas RAMONAS,"20,11%",28,"18,41%",9,Balėnų  (Nr.18) apylinkė  
Andrius MIKŠTA,"8,15%",10,"7,46%",5,Balėnų  (Nr.18) apylinkė  
Levutė STANIUVIENĖ,"6,52%",11,"5,97%",1,Balėnų  (Nr.18) apylinkė  
Audronė PITRĖNIENĖ,"9,24%",12,"8,46%",5,Balėnų  (Nr.18) apylinkė  
Jurgita JUNEVIČIENĖ,"13,04%",22,"11,94%",2,Balėnų  (Nr.18) apylinkė  
Juozas TUMOSAS,"1,63%",3,"1,49%",0,Balėnų  (Nr.18) apylinkė  
Stanislava VALATKEVIČIENĖ,"3,80%",7,"3,48%",0,Balėnų  (Nr.18) apylinkė  
Alvydas SĖDŽIUS,"1,09%",2,"1,00%",0,Balėnų  (Nr.18) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"3,80%",6,"3,48%",1,Balėnų  (Nr.18) apylinkė  
Vytautas MIKALAUSKAS,"2,72%",3,"2,49%",2,Balėnų  (Nr.18) apylinkė  
Romualdas VASILIAUSKAS,"1,63%",2,"1,49%",1,Balėnų  (Nr.18) apylinkė  
Dainoras LENGVENIS,"3,80%",6,"3,48%",1,Balėnų  (Nr.18) apylinkė  
Jonas STANEVIČIUS,"25,83%",48,"25,10%",14,Šliktinės  (Nr.18) apylinkė  
Jonas RAMONAS,"22,50%",42,"21,86%",12,Šliktinės  (Nr.18) apylinkė  
Andrius MIKŠTA,"13,75%",28,"13,36%",5,Šliktinės  (Nr.18) apylinkė  
Levutė STANIUVIENĖ,"10,42%",18,"10,12%",7,Šliktinės  (Nr.18) apylinkė  
Audronė PITRĖNIENĖ,"6,25%",13,"6,07%",2,Šliktinės  (Nr.18) apylinkė  
Jurgita JUNEVIČIENĖ,"9,17%",17,"8,91%",5,Šliktinės  (Nr.18) apylinkė  
Juozas TUMOSAS,"4,58%",10,"4,45%",1,Šliktinės  (Nr.18) apylinkė  
Stanislava VALATKEVIČIENĖ,"1,67%",4,"1,62%",0,Šliktinės  (Nr.18) apylinkė  
Alvydas SĖDŽIUS,"2,08%",3,"2,02%",2,Šliktinės  (Nr.18) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"1,25%",2,"1,21%",1,Šliktinės  (Nr.18) apylinkė  
Vytautas MIKALAUSKAS,"2,50%",5,"2,43%",1,Šliktinės  (Nr.18) apylinkė  
Romualdas VASILIAUSKAS,"0,00%",0,"0,00%",0,Šliktinės  (Nr.18) apylinkė  
Dainoras LENGVENIS,"0,00%",0,"0,00%",0,Šliktinės  (Nr.18) apylinkė  
Jonas STANEVIČIUS,"16,46%",25,"15,25%",2,Notėnų  (Nr.17) apylinkė  
Jonas RAMONAS,"21,34%",27,"19,77%",8,Notėnų  (Nr.17) apylinkė  
Andrius MIKŠTA,"7,93%",10,"7,34%",3,Notėnų  (Nr.17) apylinkė  
Levutė STANIUVIENĖ,"17,68%",21,"16,38%",8,Notėnų  (Nr.17) apylinkė  
Audronė PITRĖNIENĖ,"6,10%",9,"5,65%",1,Notėnų  (Nr.17) apylinkė  
Jurgita JUNEVIČIENĖ,"9,15%",15,"8,47%",0,Notėnų  (Nr.17) apylinkė  
Juozas TUMOSAS,"3,66%",4,"3,39%",2,Notėnų  (Nr.17) apylinkė  
Stanislava VALATKEVIČIENĖ,"1,83%",2,"1,69%",1,Notėnų  (Nr.17) apylinkė  
Alvydas SĖDŽIUS,"1,22%",2,"1,13%",0,Notėnų  (Nr.17) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"5,49%",8,"5,08%",1,Notėnų  (Nr.17) apylinkė  
Vytautas MIKALAUSKAS,"4,27%",6,"3,95%",1,Notėnų  (Nr.17) apylinkė  
Romualdas VASILIAUSKAS,"0,61%",1,"0,56%",0,Notėnų  (Nr.17) apylinkė  
Dainoras LENGVENIS,"4,27%",5,"3,95%",2,Notėnų  (Nr.17) apylinkė  
Jonas STANEVIČIUS,"27,68%",233,"25,81%",7,Tirkšlių  (Nr.17) apylinkė  
Jonas RAMONAS,"19,38%",163,"18,06%",5,Tirkšlių  (Nr.17) apylinkė  
Andrius MIKŠTA,"9,34%",74,"8,71%",7,Tirkšlių  (Nr.17) apylinkė  
Levutė STANIUVIENĖ,"10,15%",81,"9,46%",7,Tirkšlių  (Nr.17) apylinkė  
Audronė PITRĖNIENĖ,"4,50%",39,"4,19%",0,Tirkšlių  (Nr.17) apylinkė  
Jurgita JUNEVIČIENĖ,"9,46%",77,"8,82%",5,Tirkšlių  (Nr.17) apylinkė  
Juozas TUMOSAS,"1,50%",12,"1,40%",1,Tirkšlių  (Nr.17) apylinkė  
Stanislava VALATKEVIČIENĖ,"3,58%",29,"3,33%",2,Tirkšlių  (Nr.17) apylinkė  
Alvydas SĖDŽIUS,"1,04%",8,"0,97%",1,Tirkšlių  (Nr.17) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"6,11%",50,"5,70%",3,Tirkšlių  (Nr.17) apylinkė  
Vytautas MIKALAUSKAS,"1,61%",14,"1,51%",0,Tirkšlių  (Nr.17) apylinkė  
Romualdas VASILIAUSKAS,"2,77%",23,"2,58%",1,Tirkšlių  (Nr.17) apylinkė  
Dainoras LENGVENIS,"2,88%",22,"2,69%",3,Tirkšlių  (Nr.17) apylinkė  
Jonas STANEVIČIUS,"27,83%",56,"25,00%",3,Šauklių  (Nr.16) apylinkė  
Jonas RAMONAS,"14,15%",28,"12,71%",2,Šauklių  (Nr.16) apylinkė  
Andrius MIKŠTA,"8,96%",19,"8,05%",0,Šauklių  (Nr.16) apylinkė  
Levutė STANIUVIENĖ,"21,70%",36,"19,49%",10,Šauklių  (Nr.16) apylinkė  
Audronė PITRĖNIENĖ,"5,19%",8,"4,66%",3,Šauklių  (Nr.16) apylinkė  
Jurgita JUNEVIČIENĖ,"6,60%",12,"5,93%",2,Šauklių  (Nr.16) apylinkė  
Juozas TUMOSAS,"10,38%",14,"9,32%",8,Šauklių  (Nr.16) apylinkė  
Stanislava VALATKEVIČIENĖ,"0,94%",2,"0,85%",0,Šauklių  (Nr.16) apylinkė  
Alvydas SĖDŽIUS,"1,89%",4,"1,69%",0,Šauklių  (Nr.16) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"1,89%",3,"1,69%",1,Šauklių  (Nr.16) apylinkė  
Vytautas MIKALAUSKAS,"0,47%",1,"0,42%",0,Šauklių  (Nr.16) apylinkė  
Romualdas VASILIAUSKAS,"0,00%",0,"0,00%",0,Šauklių  (Nr.16) apylinkė  
Dainoras LENGVENIS,"0,00%",0,"0,00%",0,Šauklių  (Nr.16) apylinkė  
Jonas STANEVIČIUS,"29,93%",83,"29,11%",2,Plinkšių  (Nr.16) apylinkė  
Jonas RAMONAS,"31,69%",83,"30,82%",7,Plinkšių  (Nr.16) apylinkė  
Andrius MIKŠTA,"2,46%",6,"2,40%",1,Plinkšių  (Nr.16) apylinkė  
Levutė STANIUVIENĖ,"7,39%",19,"7,19%",2,Plinkšių  (Nr.16) apylinkė  
Audronė PITRĖNIENĖ,"3,87%",11,"3,77%",0,Plinkšių  (Nr.16) apylinkė  
Jurgita JUNEVIČIENĖ,"7,75%",22,"7,53%",0,Plinkšių  (Nr.16) apylinkė  
Juozas TUMOSAS,"0,00%",0,"0,00%",0,Plinkšių  (Nr.16) apylinkė  
Stanislava VALATKEVIČIENĖ,"1,41%",4,"1,37%",0,Plinkšių  (Nr.16) apylinkė  
Alvydas SĖDŽIUS,"0,00%",0,"0,00%",0,Plinkšių  (Nr.16) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"4,23%",12,"4,11%",0,Plinkšių  (Nr.16) apylinkė  
Vytautas MIKALAUSKAS,"3,52%",10,"3,42%",0,Plinkšių  (Nr.16) apylinkė  
Romualdas VASILIAUSKAS,"7,04%",20,"6,85%",0,Plinkšių  (Nr.16) apylinkė  
Dainoras LENGVENIS,"0,70%",2,"0,68%",0,Plinkšių  (Nr.16) apylinkė  
Jonas STANEVIČIUS,"25,15%",177,"23,67%",28,Mosėdžio  (Nr.15) apylinkė  
Jonas RAMONAS,"14,11%",105,"13,28%",10,Mosėdžio  (Nr.15) apylinkė  
Andrius MIKŠTA,"16,69%",110,"15,70%",26,Mosėdžio  (Nr.15) apylinkė  
Levutė STANIUVIENĖ,"16,69%",109,"15,70%",27,Mosėdžio  (Nr.15) apylinkė  
Audronė PITRĖNIENĖ,"9,94%",77,"9,35%",4,Mosėdžio  (Nr.15) apylinkė  
Jurgita JUNEVIČIENĖ,"6,26%",51,"5,89%",0,Mosėdžio  (Nr.15) apylinkė  
Juozas TUMOSAS,"4,29%",25,"4,04%",10,Mosėdžio  (Nr.15) apylinkė  
Stanislava VALATKEVIČIENĖ,"1,23%",8,"1,15%",2,Mosėdžio  (Nr.15) apylinkė  
Alvydas SĖDŽIUS,"1,96%",16,"1,85%",0,Mosėdžio  (Nr.15) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"1,60%",11,"1,50%",2,Mosėdžio  (Nr.15) apylinkė  
Vytautas MIKALAUSKAS,"1,60%",13,"1,50%",0,Mosėdžio  (Nr.15) apylinkė  
Romualdas VASILIAUSKAS,"0,49%",4,"0,46%",0,Mosėdžio  (Nr.15) apylinkė  
Dainoras LENGVENIS,"0,00%",0,"0,00%",0,Mosėdžio  (Nr.15) apylinkė  
Jonas STANEVIČIUS,"22,62%",47,"21,46%",3,Šerkšnėnų  (Nr.15) apylinkė  
Jonas RAMONAS,"23,53%",44,"22,32%",8,Šerkšnėnų  (Nr.15) apylinkė  
Andrius MIKŠTA,"7,69%",16,"7,30%",1,Šerkšnėnų  (Nr.15) apylinkė  
Levutė STANIUVIENĖ,"3,17%",7,"3,00%",0,Šerkšnėnų  (Nr.15) apylinkė  
Audronė PITRĖNIENĖ,"2,71%",6,"2,58%",0,Šerkšnėnų  (Nr.15) apylinkė  
Jurgita JUNEVIČIENĖ,"18,10%",38,"17,17%",2,Šerkšnėnų  (Nr.15) apylinkė  
Juozas TUMOSAS,"1,36%",3,"1,29%",0,Šerkšnėnų  (Nr.15) apylinkė  
Stanislava VALATKEVIČIENĖ,"7,24%",10,"6,87%",6,Šerkšnėnų  (Nr.15) apylinkė  
Alvydas SĖDŽIUS,"0,90%",2,"0,86%",0,Šerkšnėnų  (Nr.15) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"9,05%",19,"8,58%",1,Šerkšnėnų  (Nr.15) apylinkė  
Vytautas MIKALAUSKAS,"0,45%",1,"0,43%",0,Šerkšnėnų  (Nr.15) apylinkė  
Romualdas VASILIAUSKAS,"2,26%",5,"2,15%",0,Šerkšnėnų  (Nr.15) apylinkė  
Dainoras LENGVENIS,"0,90%",2,"0,86%",0,Šerkšnėnų  (Nr.15) apylinkė  
Jonas STANEVIČIUS,"28,54%",108,"27,08%",19,Lenkimų  (Nr.14) apylinkė  
Jonas RAMONAS,"10,34%",30,"9,81%",16,Lenkimų  (Nr.14) apylinkė  
Andrius MIKŠTA,"17,53%",57,"16,63%",21,Lenkimų  (Nr.14) apylinkė  
Levutė STANIUVIENĖ,"21,12%",71,"20,04%",23,Lenkimų  (Nr.14) apylinkė  
Audronė PITRĖNIENĖ,"7,42%",27,"7,04%",6,Lenkimų  (Nr.14) apylinkė  
Jurgita JUNEVIČIENĖ,"4,72%",20,"4,48%",1,Lenkimų  (Nr.14) apylinkė  
Juozas TUMOSAS,"7,87%",31,"7,46%",4,Lenkimų  (Nr.14) apylinkė  
Stanislava VALATKEVIČIENĖ,"0,22%",1,"0,21%",0,Lenkimų  (Nr.14) apylinkė  
Alvydas SĖDŽIUS,"0,22%",1,"0,21%",0,Lenkimų  (Nr.14) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"1,35%",6,"1,28%",0,Lenkimų  (Nr.14) apylinkė  
Vytautas MIKALAUSKAS,"0,22%",1,"0,21%",0,Lenkimų  (Nr.14) apylinkė  
Romualdas VASILIAUSKAS,"0,22%",1,"0,21%",0,Lenkimų  (Nr.14) apylinkė  
Dainoras LENGVENIS,"0,22%",0,"0,21%",1,Lenkimų  (Nr.14) apylinkė  
Jonas STANEVIČIUS,"22,01%",44,"19,66%",2,Žemalės  (Nr.14) apylinkė  
Jonas RAMONAS,"33,01%",61,"29,49%",8,Žemalės  (Nr.14) apylinkė  
Andrius MIKŠTA,"11,00%",17,"9,83%",6,Žemalės  (Nr.14) apylinkė  
Levutė STANIUVIENĖ,"2,87%",6,"2,56%",0,Žemalės  (Nr.14) apylinkė  
Audronė PITRĖNIENĖ,"5,26%",9,"4,70%",2,Žemalės  (Nr.14) apylinkė  
Jurgita JUNEVIČIENĖ,"7,18%",12,"6,41%",3,Žemalės  (Nr.14) apylinkė  
Juozas TUMOSAS,"2,39%",5,"2,14%",0,Žemalės  (Nr.14) apylinkė  
Stanislava VALATKEVIČIENĖ,"5,26%",10,"4,70%",1,Žemalės  (Nr.14) apylinkė  
Alvydas SĖDŽIUS,"0,48%",1,"0,43%",0,Žemalės  (Nr.14) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"6,22%",13,"5,56%",0,Žemalės  (Nr.14) apylinkė  
Vytautas MIKALAUSKAS,"2,87%",6,"2,56%",0,Žemalės  (Nr.14) apylinkė  
Romualdas VASILIAUSKAS,"0,96%",0,"0,85%",2,Žemalės  (Nr.14) apylinkė  
Dainoras LENGVENIS,"0,48%",1,"0,43%",0,Žemalės  (Nr.14) apylinkė  
Jonas STANEVIČIUS,"23,96%",23,"21,90%",0,Augzelių  (Nr.13) apylinkė  
Jonas RAMONAS,"11,46%",11,"10,48%",0,Augzelių  (Nr.13) apylinkė  
Andrius MIKŠTA,"15,62%",11,"14,29%",4,Augzelių  (Nr.13) apylinkė  
Levutė STANIUVIENĖ,"9,38%",9,"8,57%",0,Augzelių  (Nr.13) apylinkė  
Audronė PITRĖNIENĖ,"8,33%",8,"7,62%",0,Augzelių  (Nr.13) apylinkė  
Jurgita JUNEVIČIENĖ,"15,62%",14,"14,29%",1,Augzelių  (Nr.13) apylinkė  
Juozas TUMOSAS,"7,29%",7,"6,67%",0,Augzelių  (Nr.13) apylinkė  
Stanislava VALATKEVIČIENĖ,"0,00%",0,"0,00%",0,Augzelių  (Nr.13) apylinkė  
Alvydas SĖDŽIUS,"0,00%",0,"0,00%",0,Augzelių  (Nr.13) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"4,17%",3,"3,81%",1,Augzelių  (Nr.13) apylinkė  
Vytautas MIKALAUSKAS,"1,04%",1,"0,95%",0,Augzelių  (Nr.13) apylinkė  
Romualdas VASILIAUSKAS,"1,04%",1,"0,95%",0,Augzelių  (Nr.13) apylinkė  
Dainoras LENGVENIS,"2,08%",2,"1,90%",0,Augzelių  (Nr.13) apylinkė  
Jonas STANEVIČIUS,"22,86%",173,"21,73%",25,Sedos  (Nr.13) apylinkė  
Jonas RAMONAS,"30,25%",231,"28,76%",31,Sedos  (Nr.13) apylinkė  
Andrius MIKŠTA,"7,51%",59,"7,14%",6,Sedos  (Nr.13) apylinkė  
Levutė STANIUVIENĖ,"12,01%",89,"11,42%",15,Sedos  (Nr.13) apylinkė  
Audronė PITRĖNIENĖ,"3,58%",30,"3,40%",1,Sedos  (Nr.13) apylinkė  
Jurgita JUNEVIČIENĖ,"7,74%",66,"7,35%",1,Sedos  (Nr.13) apylinkė  
Juozas TUMOSAS,"1,62%",14,"1,54%",0,Sedos  (Nr.13) apylinkė  
Stanislava VALATKEVIČIENĖ,"1,96%",16,"1,87%",1,Sedos  (Nr.13) apylinkė  
Alvydas SĖDŽIUS,"0,92%",7,"0,88%",1,Sedos  (Nr.13) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"2,08%",15,"1,98%",3,Sedos  (Nr.13) apylinkė  
Vytautas MIKALAUSKAS,"2,66%",20,"2,52%",3,Sedos  (Nr.13) apylinkė  
Romualdas VASILIAUSKAS,"5,43%",42,"5,16%",5,Sedos  (Nr.13) apylinkė  
Dainoras LENGVENIS,"1,39%",11,"1,32%",1,Sedos  (Nr.13) apylinkė  
Jonas STANEVIČIUS,"12,44%",20,"11,87%",6,Pašilės  (Nr.12) apylinkė  
Jonas RAMONAS,"20,57%",30,"19,63%",13,Pašilės  (Nr.12) apylinkė  
Andrius MIKŠTA,"21,53%",45,"20,55%",0,Pašilės  (Nr.12) apylinkė  
Levutė STANIUVIENĖ,"7,18%",15,"6,85%",0,Pašilės  (Nr.12) apylinkė  
Audronė PITRĖNIENĖ,"8,61%",16,"8,22%",2,Pašilės  (Nr.12) apylinkė  
Jurgita JUNEVIČIENĖ,"12,92%",24,"12,33%",3,Pašilės  (Nr.12) apylinkė  
Juozas TUMOSAS,"5,74%",4,"5,48%",8,Pašilės  (Nr.12) apylinkė  
Stanislava VALATKEVIČIENĖ,"1,44%",3,"1,37%",0,Pašilės  (Nr.12) apylinkė  
Alvydas SĖDŽIUS,"0,96%",2,"0,91%",0,Pašilės  (Nr.12) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"2,39%",5,"2,28%",0,Pašilės  (Nr.12) apylinkė  
Vytautas MIKALAUSKAS,"4,31%",9,"4,11%",0,Pašilės  (Nr.12) apylinkė  
Romualdas VASILIAUSKAS,"0,00%",0,"0,00%",0,Pašilės  (Nr.12) apylinkė  
Dainoras LENGVENIS,"1,91%",4,"1,83%",0,Pašilės  (Nr.12) apylinkė  
Jonas STANEVIČIUS,"23,76%",36,"22,40%",7,Vižančių  (Nr.11) apylinkė  
Jonas RAMONAS,"28,18%",44,"26,56%",7,Vižančių  (Nr.11) apylinkė  
Andrius MIKŠTA,"16,57%",25,"15,62%",5,Vižančių  (Nr.11) apylinkė  
Levutė STANIUVIENĖ,"4,97%",7,"4,69%",2,Vižančių  (Nr.11) apylinkė  
Audronė PITRĖNIENĖ,"8,84%",14,"8,33%",2,Vižančių  (Nr.11) apylinkė  
Jurgita JUNEVIČIENĖ,"7,18%",11,"6,77%",2,Vižančių  (Nr.11) apylinkė  
Juozas TUMOSAS,"3,87%",5,"3,65%",2,Vižančių  (Nr.11) apylinkė  
Stanislava VALATKEVIČIENĖ,"1,10%",1,"1,04%",1,Vižančių  (Nr.11) apylinkė  
Alvydas SĖDŽIUS,"0,00%",0,"0,00%",0,Vižančių  (Nr.11) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"0,55%",1,"0,52%",0,Vižančių  (Nr.11) apylinkė  
Vytautas MIKALAUSKAS,"1,66%",3,"1,56%",0,Vižančių  (Nr.11) apylinkė  
Romualdas VASILIAUSKAS,"0,00%",0,"0,00%",0,Vižančių  (Nr.11) apylinkė  
Dainoras LENGVENIS,"3,31%",3,"3,12%",3,Vižančių  (Nr.11) apylinkė  
Jonas STANEVIČIUS,"14,37%",23,"12,97%",1,Trumplaukės  (Nr.10) apylinkė  
Jonas RAMONAS,"26,95%",40,"24,32%",5,Trumplaukės  (Nr.10) apylinkė  
Andrius MIKŠTA,"16,17%",24,"14,59%",3,Trumplaukės  (Nr.10) apylinkė  
Levutė STANIUVIENĖ,"19,16%",29,"17,30%",3,Trumplaukės  (Nr.10) apylinkė  
Audronė PITRĖNIENĖ,"4,19%",6,"3,78%",1,Trumplaukės  (Nr.10) apylinkė  
Jurgita JUNEVIČIENĖ,"5,39%",9,"4,86%",0,Trumplaukės  (Nr.10) apylinkė  
Juozas TUMOSAS,"8,38%",11,"7,57%",3,Trumplaukės  (Nr.10) apylinkė  
Stanislava VALATKEVIČIENĖ,"0,60%",1,"0,54%",0,Trumplaukės  (Nr.10) apylinkė  
Alvydas SĖDŽIUS,"1,20%",1,"1,08%",1,Trumplaukės  (Nr.10) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"1,80%",3,"1,62%",0,Trumplaukės  (Nr.10) apylinkė  
Vytautas MIKALAUSKAS,"1,20%",1,"1,08%",1,Trumplaukės  (Nr.10) apylinkė  
Romualdas VASILIAUSKAS,"0,00%",0,"0,00%",0,Trumplaukės  (Nr.10) apylinkė  
Dainoras LENGVENIS,"0,60%",1,"0,54%",0,Trumplaukės  (Nr.10) apylinkė  
Jonas STANEVIČIUS,"19,51%",89,"18,30%",23,Ylakių  (Nr.9) apylinkė  
Jonas RAMONAS,"17,07%",91,"16,01%",7,Ylakių  (Nr.9) apylinkė  
Andrius MIKŠTA,"9,58%",45,"8,99%",10,Ylakių  (Nr.9) apylinkė  
Levutė STANIUVIENĖ,"16,03%",84,"15,03%",8,Ylakių  (Nr.9) apylinkė  
Audronė PITRĖNIENĖ,"12,54%",66,"11,76%",6,Ylakių  (Nr.9) apylinkė  
Jurgita JUNEVIČIENĖ,"5,05%",29,"4,74%",0,Ylakių  (Nr.9) apylinkė  
Juozas TUMOSAS,"10,45%",38,"9,80%",22,Ylakių  (Nr.9) apylinkė  
Stanislava VALATKEVIČIENĖ,"1,39%",7,"1,31%",1,Ylakių  (Nr.9) apylinkė  
Alvydas SĖDŽIUS,"0,70%",4,"0,65%",0,Ylakių  (Nr.9) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"1,57%",7,"1,47%",2,Ylakių  (Nr.9) apylinkė  
Vytautas MIKALAUSKAS,"2,44%",9,"2,29%",5,Ylakių  (Nr.9) apylinkė  
Romualdas VASILIAUSKAS,"2,61%",12,"2,45%",3,Ylakių  (Nr.9) apylinkė  
Dainoras LENGVENIS,"1,05%",5,"0,98%",1,Ylakių  (Nr.9) apylinkė  
Jonas STANEVIČIUS,"13,16%",8,"11,49%",2,Puokės  (Nr.8) apylinkė  
Jonas RAMONAS,"39,47%",27,"34,48%",3,Puokės  (Nr.8) apylinkė  
Andrius MIKŠTA,"11,84%",8,"10,34%",1,Puokės  (Nr.8) apylinkė  
Levutė STANIUVIENĖ,"5,26%",2,"4,60%",2,Puokės  (Nr.8) apylinkė  
Audronė PITRĖNIENĖ,"7,89%",5,"6,90%",1,Puokės  (Nr.8) apylinkė  
Jurgita JUNEVIČIENĖ,"10,53%",7,"9,20%",1,Puokės  (Nr.8) apylinkė  
Juozas TUMOSAS,"5,26%",4,"4,60%",0,Puokės  (Nr.8) apylinkė  
Stanislava VALATKEVIČIENĖ,"1,32%",1,"1,15%",0,Puokės  (Nr.8) apylinkė  
Alvydas SĖDŽIUS,"1,32%",1,"1,15%",0,Puokės  (Nr.8) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"0,00%",0,"0,00%",0,Puokės  (Nr.8) apylinkė  
Vytautas MIKALAUSKAS,"2,63%",1,"2,30%",1,Puokės  (Nr.8) apylinkė  
Romualdas VASILIAUSKAS,"1,32%",1,"1,15%",0,Puokės  (Nr.8) apylinkė  
Dainoras LENGVENIS,"0,00%",0,"0,00%",0,Puokės  (Nr.8) apylinkė  
Jonas STANEVIČIUS,"17,91%",48,"16,36%",5,Barstyčių  (Nr.7) apylinkė  
Jonas RAMONAS,"24,66%",61,"22,53%",12,Barstyčių  (Nr.7) apylinkė  
Andrius MIKŠTA,"12,16%",27,"11,11%",9,Barstyčių  (Nr.7) apylinkė  
Levutė STANIUVIENĖ,"8,11%",19,"7,41%",5,Barstyčių  (Nr.7) apylinkė  
Audronė PITRĖNIENĖ,"9,12%",25,"8,33%",2,Barstyčių  (Nr.7) apylinkė  
Jurgita JUNEVIČIENĖ,"6,08%",15,"5,56%",3,Barstyčių  (Nr.7) apylinkė  
Juozas TUMOSAS,"10,14%",25,"9,26%",5,Barstyčių  (Nr.7) apylinkė  
Stanislava VALATKEVIČIENĖ,"3,38%",10,"3,09%",0,Barstyčių  (Nr.7) apylinkė  
Alvydas SĖDŽIUS,"1,35%",4,"1,23%",0,Barstyčių  (Nr.7) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"3,04%",9,"2,78%",0,Barstyčių  (Nr.7) apylinkė  
Vytautas MIKALAUSKAS,"1,01%",2,"0,93%",1,Barstyčių  (Nr.7) apylinkė  
Romualdas VASILIAUSKAS,"1,69%",5,"1,54%",0,Barstyčių  (Nr.7) apylinkė  
Dainoras LENGVENIS,"1,35%",3,"1,23%",1,Barstyčių  (Nr.7) apylinkė  
Jonas STANEVIČIUS,"20,74%",27,"20,14%",1,Gėsalų  (Nr.6) apylinkė  
Jonas RAMONAS,"9,63%",12,"9,35%",1,Gėsalų  (Nr.6) apylinkė  
Andrius MIKŠTA,"12,59%",16,"12,23%",1,Gėsalų  (Nr.6) apylinkė  
Levutė STANIUVIENĖ,"12,59%",17,"12,23%",0,Gėsalų  (Nr.6) apylinkė  
Audronė PITRĖNIENĖ,"22,96%",30,"22,30%",1,Gėsalų  (Nr.6) apylinkė  
Jurgita JUNEVIČIENĖ,"12,59%",17,"12,23%",0,Gėsalų  (Nr.6) apylinkė  
Juozas TUMOSAS,"1,48%",2,"1,44%",0,Gėsalų  (Nr.6) apylinkė  
Stanislava VALATKEVIČIENĖ,"1,48%",2,"1,44%",0,Gėsalų  (Nr.6) apylinkė  
Alvydas SĖDŽIUS,"0,00%",0,"0,00%",0,Gėsalų  (Nr.6) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"0,74%",1,"0,72%",0,Gėsalų  (Nr.6) apylinkė  
Vytautas MIKALAUSKAS,"1,48%",2,"1,44%",0,Gėsalų  (Nr.6) apylinkė  
Romualdas VASILIAUSKAS,"2,96%",4,"2,88%",0,Gėsalų  (Nr.6) apylinkė  
Dainoras LENGVENIS,"0,74%",1,"0,72%",0,Gėsalų  (Nr.6) apylinkė  
Jonas STANEVIČIUS,"12,12%",23,"11,71%",1,Kaukolikų  (Nr.5) apylinkė  
Jonas RAMONAS,"25,25%",43,"24,39%",7,Kaukolikų  (Nr.5) apylinkė  
Andrius MIKŠTA,"14,14%",26,"13,66%",2,Kaukolikų  (Nr.5) apylinkė  
Levutė STANIUVIENĖ,"14,65%",16,"14,15%",13,Kaukolikų  (Nr.5) apylinkė  
Audronė PITRĖNIENĖ,"6,57%",11,"6,34%",2,Kaukolikų  (Nr.5) apylinkė  
Jurgita JUNEVIČIENĖ,"3,54%",7,"3,41%",0,Kaukolikų  (Nr.5) apylinkė  
Juozas TUMOSAS,"15,15%",23,"14,63%",7,Kaukolikų  (Nr.5) apylinkė  
Stanislava VALATKEVIČIENĖ,"0,00%",0,"0,00%",0,Kaukolikų  (Nr.5) apylinkė  
Alvydas SĖDŽIUS,"5,05%",9,"4,88%",1,Kaukolikų  (Nr.5) apylinkė  
Asta PILYPAITĖ-ZARECKIENĖ,"1,01%",2,"0,98%",0,Kaukolikų  (Nr.5) apylinkė  
Vytautas MIKALAUSKAS,"0,51%",1,"0,49%",0,Kaukolikų  (Nr.5) apylinkė  
Romualdas VASILIAUSKAS,"1,52%",3,"1,46%",0,Kaukolikų  (Nr.5) apylinkė  
Dainoras LENGVENIS,"0,51%",1,"0,49%",0,Kaukolikų  (Nr.5) apylinkė  
Jonas STANEVIČIUS,"14,23%",36,"13,54%",3,Aleksandrijos  (Nr.4) apylinkė  
Jonas RAMONAS,"17,52%",43,"16,67%",5,Aleksandrijos  (Nr.4) apylinkė  
Andrius MIKŠTA,"12,04%",30,"11,46%",3,Aleksandrijos  (Nr.4) apylinkė  
Levutė STANIUVIENĖ,"12,41%",27,"11,81%",7,Aleksandrijos  (Nr.4) apylinkė  
Audronė PITRĖNIENĖ,"18,98%",46,"18,06%",6,Aleksandrijos  (Nr.4) apylinkė  
Jurgita JUNEVIČIENĖ,"5,47%",15,"5,21%",0,Aleksandrijos  (Nr.4) apylinkė  
Juozas TUMOSAS,"9,12%",23,"8,68%",2,Aleksandrijos  (Nr.4) apylinkė  
